unit,landuse,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
KM2,L0008,ITC4	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	22800.0 	: 	: 	: 
KM2,L0008,ITF1	10635.0 	10635.0 	10635.0 	10635.0 	10635.0 	10635.0 	10635.0 	10635.0 	10635.0 	: 	: 	: 
KM2,L0008,ITF2	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	: 	: 	: 
KM2,L0008,ITF3	13392.0 	13392.0 	13392.0 	13392.0 	13392.0 	13392.0 	13392.0 	13392.0 	13392.0 	: 	: 	: 
KM2,L0008,ITF4	19191.0 	19191.0 	19191.0 	19191.0 	19191.0 	19191.0 	19191.0 	19191.0 	19191.0 	: 	: 	: 
KM2,L0008,ITF5	9719.0 	9719.0 	9719.0 	9719.0 	9719.0 	9719.0 	9719.0 	9719.0 	9719.0 	: 	: 	: 
KM2,L0008,ITF6	14753.0 	14753.0 	14753.0 	14753.0 	14753.0 	14753.0 	14753.0 	14753.0 	14753.0 	: 	: 	: 
KM2,L0008,ITG1	25409.0 	25409.0 	25409.0 	25409.0 	25409.0 	25409.0 	25409.0 	25409.0 	25409.0 	: 	: 	: 
KM2,L0008,ITG2	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	: 	: 	: 
KM2,L0008,ITH1	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	7370.0 	: 	: 	: 
KM2,L0008,ITH2	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	6140.0 	: 	: 	: 
KM2,L0008,ITH3	17571.0 	17571.0 	17571.0 	17571.0 	17571.0 	17571.0 	17571.0 	17571.0 	17571.0 	: 	: 	: 
KM2,L0008,ITH4	7556.0 	7556.0 	7556.0 	7556.0 	7556.0 	7556.0 	7556.0 	7556.0 	7556.0 	: 	: 	: 
KM2,L0008,ITI1	22657.0 	22657.0 	22657.0 	22657.0 	22657.0 	22657.0 	22657.0 	22657.0 	22657.0 	: 	: 	: 
KM2,L0008,ITI2	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	: 	: 	: 
KM2,L0008,ITI4	16897.0 	16897.0 	16897.0 	16897.0 	16897.0 	16897.0 	16897.0 	16897.0 	16897.0 	: 	: 	: 
KM2,L0008,LI00	156.3 	156.3 	156.3 	156.3 	156.2 	156.2 	156.2 	156.2 	156.2 	156.2 	158.0 	158.0 
KM2,L0008,LT00	62678.0 	62678.0 	62678.0 	62678.0 	62675.0 	62675.0 	62675.0 	62675.0 	62678.0 	62675.0 	62675.0 	62650.0 
KM2,L0008,LU00	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 
KM2,L0008,LV00	62290.0 	62290.0 	62290.0 	62290.0 	62196.0 	62196.0 	62196.0 	62199.0 	62199.0 	62210.0 	62210.0 	62210.0 
KM2,L0008,MK00	24914.0 	24914.0 	24914.0 	24914.0 	24913.0 	24913.0 	24913.0 	24913.0 	24913.0 	24913.0 	24913.0 	24913.0 
KM2,L0008,MT00	315.6 	315.6 	315.6 	315.6 	316.0 	316.0 	316.0 	316.0 	316.0 	316.0 	316.0 	315.4 
KM2,L0008,NL11	2336.0 	2336.0 	2335.4 	2333.3 	2333.3 	2333.3 	2333.3 	2333.3 	2325.4 	2325.4 	2325.0 	2325.0 
KM2,L0008,NL12	3349.3 	3349.0 	3349.9 	3341.7 	3341.7 	3341.7 	3341.7 	3341.7 	3339.9 	3339.9 	3325.0 	3325.0 
KM2,L0008,NL13	2642.0 	2642.0 	2642.0 	2641.1 	2641.1 	2641.1 	2641.1 	2641.1 	2638.9 	2638.9 	2636.0 	2636.0 
KM2,L0008,NL21	3326.7 	3327.0 	3326.7 	3325.6 	3325.6 	3325.6 	3325.6 	3325.6 	3324.5 	3324.5 	3323.0 	3323.0 
KM2,L0008,NL22	4975.1 	4975.0 	4975.1 	4971.8 	4971.8 	4971.8 	4971.8 	4971.8 	4969.5 	4969.5 	4968.0 	4968.0 
KM2,L0008,NL23	1419.3 	1419.0 	1419.3 	1417.5 	1417.5 	1417.5 	1417.5 	1417.5 	1415.4 	1415.4 	1413.0 	1413.0 
KM2,L0008,NL31	1386.2 	1386.0 	1386.2 	1385.0 	1385.0 	1385.0 	1385.0 	1385.0 	1383.2 	1383.2 	1382.0 	1382.0 
KM2,L0008,NL32	2670.4 	2670.0 	2670.4 	2671.0 	2671.0 	2671.0 	2671.0 	2671.0 	2665.4 	2665.4 	2664.0 	2664.0 
KM2,L0008,NL33	2818.1 	2818.0 	2818.1 	2814.7 	2814.7 	2814.7 	2814.7 	2814.7 	2808.2 	2808.2 	2805.0 	2805.0 
KM2,L0008,NL34	1788.1 	1788.0 	1788.1 	1787.1 	1787.1 	1787.1 	1787.1 	1787.1 	1784.1 	1784.1 	1784.0 	1784.0 
KM2,L0008,NL41	4919.3 	4919.0 	4919.3 	4916.5 	4916.5 	4916.5 	4916.5 	4916.5 	4913.9 	4913.9 	4913.0 	4913.0 
KM2,L0008,NL42	2153.1 	2153.0 	2153.0 	2150.9 	2150.9 	2150.9 	2150.9 	2150.9 	2149.7 	2149.7 	2148.0 	2148.0 
KM2,L0008,NO01	5005.0 	5005.0 	5005.0 	5005.0 	5047.0 	5047.0 	5047.0 	5047.0 	5005.0 	5005.2 	5005.0 	5005.0 
KM2,L0008,NO02	49869.0 	49868.0 	49869.0 	49869.0 	49868.0 	49868.0 	49868.0 	49868.0 	49868.0 	49871.0 	49871.0 	49871.0 
KM2,L0008,NO03	33685.0 	33685.0 	33685.0 	33685.0 	33843.0 	33843.0 	33843.0 	33843.0 	33685.0 	33686.3 	33680.0 	33680.0 
