unit,age,sex,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
NR,TOTAL,T,HU23	947986 	940585 	931215 b	925180 	917492 	909130 	900868 	894223 	886840 	879596 	874573 	871105 
NR,TOTAL,T,HU31	1209142 	1194697 	1200831 b	1189441 	1176894 	1164813 	1153714 	1143902 	1134945 	1126360 	1118577 	1112263 
NR,TOTAL,T,HU32	1492502 	1481922 	1498795 b	1491659 	1484375 	1479522 	1474383 	1468088 	1460096 	1450960 	1442660 	1435131 
NR,TOTAL,T,HU33	1318214 	1308470 	1296278 b	1288654 	1279480 	1271040 	1262936 	1251924 	1243865 	1237101 	1231094 	1222173 
NR,TOTAL,T,HUXX	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
NR,TOTAL,T,IE04	: 	: 	832082 	834236 	833748 	833830 	839204 	848383 	856252 	867947 e	877832 	884580 
NR,TOTAL,T,IE05	: 	: 	1547097 	1556247 	1563179 	1567206 	1575504 	1591718 	1604865 	1624381 e	1641057 	1654261 
NR,TOTAL,T,IE06	: 	: 	2210108 	2219296 	2240925 	2276591 	2311578 	2344282 	2369275 	2411912 e	2445551 	2467483 
NR,TOTAL,T,IS00	317630 	318452 	319575 	321857 	325671 	329100 	332529 	338349 	348450 	356991 	364134 	368792 
NR,TOTAL,T,ITC1	4362041 	4364309 	4357663 	4374052 	4436798 	4424467 	4404246 	4392526 	4375865 	4328565 b	4311217 	4274945 
NR,TOTAL,T,ITC2	126686 	126761 	126620 	127844 	128591 	128298 	127329 	126883 	126202 	125653 b	125034 	124089 
NR,TOTAL,T,ITC3	1576443 	1574132 	1567339 	1565127 	1591939 	1583263 	1571053 	1565307 	1556981 	1532980 b	1524826 	1518495 
NR,TOTAL,T,ITC4	9600951 	9663872 	9700881 	9794525 	9973397 	10002615 	10008349 	10019166 	10036258 	10010833 b	10027602 	9981554 
NR,TOTAL,T,ITF1	1307778 	1307273 	1306416 	1312507 	1333939 	1331574 	1326513 	1322247 	1315196 	1300645 b	1293941 	1281012 
NR,TOTAL,T,ITF2	315536 	314342 	313145 	313341 	314725 	313348 	312027 	310449 	308493 	303790 b	300516 	294294 
NR,TOTAL,T,ITF3	5758375 	5765850 	5764424 	5769750 	5869965 	5861529 	5850850 	5839084 	5826860 	5740291 b	5712143 	5624260 
NR,TOTAL,T,ITF4	4048007 	4053668 	4050072 	4050803 	4090266 	4090105 	4077166 	4063888 	4048242 	3975528 b	3953305 	3933777 
NR,TOTAL,T,ITF5	581140 	579358 	577562 	576194 	578391 	576619 	573694 	570365 	567118 	558587 b	553254 	545130 
NR,TOTAL,T,ITF6	1966336 	1962856 	1958418 	1958238 	1980533 	1976631 	1970521 	1965128 	1956687 	1912021 b	1894110 	1860601 
